c maxflow small problem
c ACCELL project
c
c problem line
p	max	1157	1420
a	820	817	500
a	817	1028	500
a	1028	1027	500
a	1027	988	250
a	988	1026	250
a	1026	1024	500
a	1024	502	500
a	502	1025	500
a	1025	1023	500
a	1023	1022	500
a	1022	1021	500
a	1021	1005	500
a	1005	814	500
a	814	815	500
a	815	444	500
a	444	442	1000
a	442	213	1000
a	213	440	1000
a	440	438	1000
a	438	439	1000
a	439	441	1000
a	441	43	500
a	43	42	500
a	42	44	500
a	659	660	500
a	660	650	500
a	650	149	500
a	149	148	500
a	148	145	250
a	145	144	250
a	144	146	312
a	146	147	312
a	147	675	312
a	675	683	312
a	683	669	312
a	669	670	500
a	670	685	500
a	685	681	500
a	681	150	500
a	150	161	500
a	161	160	500
a	160	680	500
a	680	684	750
a	684	674	750
a	674	415	750
a	415	414	750
a	414	677	750
a	677	676	750
a	676	673	750
a	673	672	750
a	672	166	750
a	166	167	250
a	167	162	625
a	162	475	625
a	475	476	625
a	476	477	625
a	477	478	625
a	478	380	750
a	380	392	250
a	392	379	500
a	379	391	500
a	219	221	500
a	221	437	500
a	437	528	625
a	528	529	500
a	529	969	500
a	969	451	500
a	451	447	500
a	447	449	250
a	449	450	250
a	450	448	250
a	448	445	500
a	445	446	500
a	446	971	500
a	971	962	500
a	962	963	500
a	963	960	625
a	960	361	625
a	361	362	500
a	362	363	500
a	363	364	625
a	364	294	625
a	294	1014	500
a	1014	1091	937
a	1091	1088	625
a	1088	290	625
a	290	291	625
a	291	293	625
a	293	268	625
a	268	283	625
a	283	939	625
a	939	940	625
a	940	941	625
a	941	943	625
a	943	942	625
a	942	263	625
a	263	278	625
a	278	895	625
a	895	1087	625
a	1087	246	625
a	246	245	625
a	525	982	500
a	982	1006	500
a	1006	1009	250
a	1009	1010	500
a	1010	841	625
a	841	1096	625
a	1096	1089	625
a	24	25	625
a	25	320	625
a	320	1075	625
a	1075	432	625
a	432	429	500
a	429	430	500
a	430	435	500
a	435	319	625
a	319	970	625
a	970	963	625
a	1014	1013	500
a	1013	997	625
a	997	958	1000
a	958	961	1000
a	961	937	1000
a	937	338	1000
a	338	339	250
a	339	330	500
a	330	54	500
a	54	343	500
a	343	340	250
a	340	329	500
a	329	934	500
a	934	931	500
a	931	936	500
a	936	932	500
a	831	832	500
a	832	834	500
a	834	1068	250
a	1068	836	250
a	836	839	500
a	839	804	500
a	804	522	500
a	522	521	500
a	521	514	500
a	514	1096	250
a	975	802	250
a	802	976	250
a	653	643	500
a	643	648	500
a	648	409	500
a	409	408	500
a	408	646	500
a	646	658	500
a	658	647	500
a	647	644	500
a	644	663	500
a	663	661	500
a	661	655	500
a	655	642	500
a	642	636	500
a	636	637	500
a	637	633	500
a	633	634	500
a	634	632	500
a	632	631	500
a	631	597	500
a	597	596	500
a	596	593	500
a	593	595	500
a	595	594	500
a	594	592	500
a	592	598	500
a	598	615	500
a	615	616	500
a	616	614	500
a	614	613	500
a	613	612	500
a	612	604	500
a	604	611	500
a	611	141	500
a	141	619	500
a	619	599	625
a	599	1090	625
a	1090	620	250
a	620	605	625
a	605	602	500
a	602	603	500
a	603	601	500
a	601	600	500
a	600	606	500
a	606	610	500
a	610	137	500
a	45	1079	500
a	1079	473	312
a	473	466	312
a	466	469	312
a	469	470	312
a	470	467	312
a	467	468	312
a	468	1078	625
a	1078	1092	625
a	1092	1058	625
a	1058	125	500
a	125	129	500
a	129	130	500
a	130	131	500
a	131	405	750
a	405	404	750
a	404	542	750
a	542	543	750
a	543	544	500
a	544	556	500
a	556	558	500
a	558	555	500
a	555	483	500
a	483	484	500
a	484	560	500
a	560	565	500
a	565	562	500
a	562	564	500
a	564	561	500
a	561	563	500
a	563	506	500
a	506	698	500
a	698	700	500
a	700	701	500
a	701	753	500
a	753	744	500
a	744	751	500
a	751	733	500
a	733	742	500
a	742	754	500
a	754	752	500
a	752	741	500
a	741	731	500
a	731	732	500
a	732	745	500
a	745	740	1000
a	740	724	500
a	724	725	500
a	725	737	500
a	737	743	500
a	743	774	500
a	774	773	500
a	773	775	500
a	775	777	250
a	777	780	500
a	780	781	500
a	781	512	500
a	512	513	500
a	513	785	500
a	785	784	500
a	784	795	500
a	795	791	500
a	791	788	500
a	788	790	500
a	790	793	500
a	793	792	500
a	792	838	500
a	838	840	500
a	840	797	500
a	797	837	500
a	837	835	500
a	835	833	500
a	833	831	625
a	831	525	625
a	525	1051	1000
a	1051	1042	1000
a	1042	422	1000
a	422	421	1000
a	421	867	1000
a	867	249	1000
a	249	248	625
a	248	251	625
a	251	898	625
a	898	911	625
a	911	267	625
a	267	266	625
a	266	277	625
a	277	275	625
a	275	274	625
a	274	1000	625
a	1000	285	625
a	285	270	625
a	270	269	250
a	269	265	500
a	265	309	500
a	309	308	500
a	308	306	500
a	306	305	250
a	305	303	250
a	303	299	500
a	299	311	500
a	311	312	250
a	312	368	500
a	368	965	500
a	965	314	500
a	314	298	500
a	298	302	500
a	302	360	500
a	360	15	250
a	15	12	500
a	12	28	500
a	28	9	500
a	9	316	250
a	316	317	500
a	317	318	500
a	774	974	500
a	974	482	500
a	482	778	1000
a	778	779	1000
a	779	776	1000
a	776	331	1000
a	331	1107	1000
a	1107	1108	1000
a	1108	1020	1000
a	1020	978	1000
a	978	1001	1000
a	1001	852	1000
a	852	235	1000
a	235	234	1000
a	234	223	1000
a	223	1105	1000
a	1105	1099	1000
a	1099	1102	1000
a	1102	842	1000
a	842	843	1000
a	843	227	1000
a	227	229	1000
a	229	222	1000
a	222	1103	1000
a	1103	1101	1000
a	1101	236	1000
a	236	1104	1000
a	1104	224	1000
a	224	1100	1000
a	1100	1106	1000
a	1106	875	1000
a	875	868	1000
a	868	1098	1000
a	1098	816	1000
a	816	44	1000
a	44	443	500
a	443	515	500
a	515	337	500
a	337	873	500
a	873	874	500
a	874	869	500
a	869	996	500
a	996	516	500
a	516	876	500
a	876	994	500
a	994	995	500
a	995	921	500
a	921	935	500
a	935	932	500
a	932	936	500
a	936	931	500
a	931	934	500
a	934	329	500
a	329	340	500
a	340	342	250
a	342	370	500
a	370	371	500
a	371	341	500
a	341	338	250
a	338	937	1000
a	937	961	1000
a	961	958	1000
a	958	997	1000
a	997	959	625
a	959	289	625
a	289	1088	625
a	1088	292	625
a	292	288	625
a	288	287	625
a	287	348	625
a	348	313	500
a	313	307	500
a	307	344	500
a	344	345	625
a	345	326	625
a	326	347	625
a	347	324	625
a	324	346	625
a	346	34	500
a	34	36	500
a	36	327	500
a	327	325	250
a	325	322	500
a	322	530	500
a	530	328	500
a	328	321	500
a	321	323	250
a	323	332	500
a	332	68	500
a	68	69	500
a	69	296	500
a	296	310	500
a	310	297	500
a	297	300	500
a	300	304	500
a	304	316	250
a	745	736	500
a	736	757	500
a	757	748	500
a	748	749	500
a	749	973	500
a	973	746	250
a	746	747	937
a	747	760	937
a	760	762	937
a	762	763	750
a	763	769	500
a	769	510	500
a	510	511	500
a	511	512	500
a	248	905	500
a	905	896	500
a	896	897	500
a	897	902	500
a	902	906	500
a	906	899	500
a	899	247	500
a	247	908	500
a	908	907	500
a	907	252	500
a	252	900	500
a	900	901	500
a	901	917	500
a	917	916	500
a	916	918	500
a	918	948	500
a	948	949	500
a	949	950	500
a	950	952	500
a	952	951	500
a	951	399	500
a	399	398	500
a	398	19	250
a	19	26	500
a	26	20	500
a	20	11	500
a	11	10	500
a	10	21	500
a	21	28	625
a	9	8	500
a	8	17	500
a	17	16	625
a	16	295	250
a	295	69	250
a	300	301	500
a	301	964	500
a	964	966	500
a	966	315	500
a	315	967	500
a	967	968	500
a	968	318	500
a	52	53	500
a	53	892	500
a	892	242	250
a	242	866	500
a	866	859	500
a	859	860	500
a	860	862	500
a	862	863	500
a	863	854	500
a	854	520	500
a	520	519	500
a	519	861	500
a	861	864	500
a	864	865	500
a	865	856	500
a	856	855	500
a	855	1016	500
a	1016	851	500
a	851	850	500
a	850	979	500
a	979	1001	500
a	892	884	500
a	884	240	500
a	240	241	500
a	241	242	500
a	863	858	500
a	858	857	500
a	857	1017	250
a	1017	1018	500
a	1018	1019	312
a	1019	853	500
a	853	403	500
a	403	402	500
a	402	1043	500
a	1043	1042	500
a	858	1015	250
a	1015	1017	500
a	59	58	250
a	58	158	250
a	158	152	500
a	152	151	250
a	151	154	250
a	154	164	250
a	164	678	500
a	678	682	500
a	682	165	312
a	165	171	312
a	171	170	312
a	170	416	1000
a	416	417	1000
a	417	1049	1000
a	1049	393	1000
a	393	1067	1000
a	1067	177	1000
a	177	396	1000
a	396	464	250
a	464	462	625
a	462	199	1000
a	199	355	1000
a	355	697	750
a	697	1044	1000
a	1044	458	1000
a	458	455	625
a	455	456	625
a	456	454	625
a	454	452	625
a	452	460	625
a	460	461	625
a	461	463	1000
a	463	47	1000
a	47	46	250
a	46	205	500
a	205	49	500
a	49	204	500
a	204	206	500
a	206	207	500
a	207	208	250
a	208	722	1000
a	722	1037	1000
a	1037	1036	1000
a	1036	1035	1000
a	1035	397	1000
a	397	770	1000
a	770	1038	1000
a	1038	1039	1000
a	1039	1041	1000
a	1041	1040	1000
a	1040	771	1000
a	771	772	1000
a	772	401	625
a	401	1071	625
a	1071	1072	625
a	1072	1081	625
a	1081	1095	625
a	1095	1084	625
a	1084	1083	625
a	1083	803	625
a	803	985	625
a	985	981	625
a	981	1008	625
a	1008	1003	500
a	1003	1004	500
a	1004	1007	500
a	1007	1006	250
a	1006	982	500
a	982	525	500
a	60	215	250
a	215	216	250
a	216	232	250
a	232	225	250
a	225	231	250
a	231	237	250
a	237	228	250
a	228	226	250
a	226	233	250
a	233	1099	250
a	60	816	500
a	61	883	500
a	883	879	500
a	879	887	500
a	887	888	500
a	888	891	500
a	891	890	500
a	890	893	500
a	893	885	500
a	885	886	500
a	886	880	500
a	880	871	500
a	871	872	500
a	872	844	500
a	844	230	500
a	230	870	500
a	870	523	500
a	523	524	500
a	524	845	500
a	845	848	500
a	848	847	500
a	847	846	500
a	846	849	500
a	849	850	500
a	61	889	500
a	889	882	500
a	882	881	500
a	881	877	500
a	877	878	500
a	878	238	500
a	238	239	500
a	239	894	500
a	894	895	500
a	62	61	250
a	63	250	250
a	250	899	500
a	63	64	500
a	64	67	500
a	67	243	500
a	243	247	500
a	64	63	500
a	65	66	250
a	66	281	250
a	281	286	250
a	286	938	500
a	938	264	500
a	264	271	500
a	271	280	500
a	280	272	500
a	272	279	500
a	279	275	250
a	275	263	250
a	66	276	250
a	276	273	250
a	273	282	250
a	282	284	250
a	284	945	500
a	945	946	500
a	946	944	500
a	944	947	500
a	947	909	500
a	909	904	500
a	904	244	500
a	244	518	500
a	518	911	500
a	911	895	500
a	71	163	250
a	163	685	500
a	681	671	500
a	671	168	312
a	168	155	312
a	155	156	312
a	156	159	312
a	159	687	312
a	687	169	312
a	169	682	312
a	71	70	250
a	70	1097	250
a	1097	686	250
a	686	163	500
a	396	394	250
a	394	395	250
a	353	7	250
a	7	6	250
a	6	174	250
a	174	354	250
a	354	372	250
a	372	1121	1350
a	1121	1122	1350
a	1122	1153	1350
a	1153	1115	1350
a	1115	1116	1350
a	1116	977	1350
a	977	1151	1350
a	1151	1133	1350
a	1133	1134	1350
a	1134	1117	1350
a	1117	1118	1350
a	1118	1031	1350
a	1031	1139	1350
a	1139	1140	1350
a	1140	1147	1350
a	1147	1129	1350
a	1129	1111	1350
a	1111	1112	1350
a	1112	1141	1350
a	1141	1142	1350
a	1142	1130	1350
a	1130	1131	1350
a	1131	1137	1350
a	1137	1138	1350
a	1138	1033	1350
a	1033	914	250
a	914	256	250
a	256	29	250
a	29	18	625
a	18	14	625
a	41	20	625
a	72	73	250
a	73	74	250
a	74	75	250
a	75	76	250
a	76	381	250
a	381	666	500
a	666	667	500
a	667	665	500
a	665	664	500
a	664	1109	250
a	1109	1057	250
a	1057	1056	500
a	1056	668	500
a	668	153	500
a	153	157	500
a	157	171	500
a	77	76	250
a	78	77	250
a	80	79	250
a	79	78	250
a	81	84	250
a	84	696	500
a	696	679	500
a	679	668	500
a	82	81	250
a	83	81	250
a	86	85	250
a	85	88	250
a	88	480	500
a	480	479	500
a	479	481	500
a	481	474	250
a	474	465	312
a	465	466	312
a	95	96	250
a	96	102	500
a	102	383	250
a	383	384	250
a	384	532	500
a	532	533	500
a	533	535	500
a	535	366	500
a	366	382	500
a	382	100	500
a	100	115	500
a	115	89	500
a	89	90	500
a	90	531	500
a	531	534	500
a	534	1011	500
a	1011	1012	500
a	1012	470	250
a	95	109	250
a	109	537	500
a	537	638	500
a	638	505	500
a	505	639	500
a	639	142	500
a	142	536	500
a	536	532	500
a	533	97	500
a	97	98	500
a	98	104	500
a	104	108	250
a	108	50	500
a	50	51	312
a	51	1079	312
a	97	384	500
a	98	110	250
a	110	93	500
a	93	94	250
a	94	107	500
a	107	108	500
a	105	103	500
a	103	96	500
a	102	101	500
a	101	91	500
a	91	92	250
a	92	110	500
a	103	95	250
a	109	95	250
a	505	504	500
a	504	407	500
a	407	406	500
a	406	635	500
a	635	413	500
a	413	412	500
a	412	640	500
a	640	1059	500
a	1059	1110	250
a	1110	637	250
a	637	636	500
a	636	642	500
a	642	655	500
a	655	661	500
a	661	663	500
a	663	645	500
a	645	649	500
a	649	410	500
a	410	411	500
a	411	656	500
a	656	657	500
a	657	1048	250
a	1048	1047	250
a	1047	1061	250
a	1061	1064	500
a	1064	1063	500
a	1063	1065	500
a	1065	1070	750
a	1070	659	750
a	659	1052	750
a	1052	1053	750
a	1053	1069	750
a	1069	1045	750
a	1045	1046	750
a	1046	56	1000
a	56	198	625
a	198	334	625
a	334	1094	625
a	1094	1093	625
a	1093	192	625
a	192	335	625
a	335	428	1000
a	428	427	1000
a	427	197	1000
a	197	694	1000
a	694	695	1000
a	695	196	1000
a	196	426	1000
a	426	425	1000
a	425	201	1000
a	201	200	500
a	200	202	500
a	202	349	500
a	349	203	500
a	203	719	500
a	719	715	500
a	715	716	500
a	716	720	500
a	720	712	500
a	712	713	500
a	713	706	500
a	706	721	500
a	721	755	500
a	755	761	500
a	761	750	500
a	750	508	500
a	508	509	500
a	509	756	500
a	756	749	500
a	110	98	250
a	110	92	500
a	92	106	250
a	106	105	500
a	111	112	250
a	112	115	500
a	111	116	250
a	116	133	250
a	133	369	250
a	369	113	250
a	113	114	500
a	114	112	500
a	90	99	500
a	99	100	500
a	100	382	500
a	382	366	500
a	366	535	500
a	535	533	500
a	116	111	250
a	117	118	250
a	118	120	250
a	120	539	500
a	539	541	500
a	541	545	500
a	545	471	625
a	471	472	312
a	472	474	312
a	119	118	250
a	121	540	500
a	540	538	500
a	538	120	500
a	122	123	250
a	123	124	500
a	124	128	500
a	128	129	625
a	122	1155	250
a	1155	123	250
a	122	132	250
a	132	128	625
a	126	127	625
a	127	546	625
a	546	693	625
a	693	692	625
a	692	186	625
a	186	187	625
a	187	188	625
a	188	184	625
a	184	183	625
a	183	185	625
a	185	190	625
a	190	193	625
a	193	194	500
a	194	189	500
a	189	195	500
a	195	333	500
a	333	334	500
a	201	714	1000
a	714	717	1000
a	717	718	1000
a	718	705	1000
a	705	993	1000
a	993	999	1000
a	999	998	500
a	998	704	1000
a	704	708	1000
a	708	707	1000
a	707	710	1000
a	710	711	1000
a	711	703	1000
a	703	709	1000
a	709	702	1000
a	702	699	1000
a	699	730	1000
a	730	729	1000
a	729	727	1000
a	727	726	1000
a	726	728	1000
a	728	992	1000
a	992	723	1000
a	723	991	1000
a	991	745	1000
a	133	116	250
a	133	182	250
a	182	387	500
a	387	388	250
a	388	641	500
a	641	143	500
a	143	1060	500
a	1060	367	500
a	367	366	500
a	134	554	500
a	554	552	500
a	552	547	500
a	547	548	500
a	548	551	500
a	551	553	500
a	553	557	500
a	557	135	500
a	135	492	500
a	492	577	500
a	577	559	500
a	559	579	500
a	579	576	500
a	576	578	500
a	578	581	500
a	581	574	500
a	574	580	500
a	580	575	500
a	575	572	500
a	572	573	500
a	573	582	500
a	582	583	500
a	583	758	500
a	758	742	500
a	551	549	500
a	549	550	500
a	550	571	500
a	571	566	500
a	566	567	500
a	567	485	500
a	485	486	500
a	486	568	500
a	568	569	500
a	569	570	500
a	570	487	500
a	487	490	500
a	490	488	500
a	488	489	500
a	489	491	500
a	491	589	500
a	589	493	500
a	493	494	500
a	494	584	500
a	584	500	500
a	500	501	500
a	501	585	500
a	585	496	500
a	496	497	500
a	497	498	500
a	498	499	500
a	499	495	500
a	495	586	500
a	586	587	500
a	587	588	500
a	588	590	625
a	590	591	625
a	591	1080	500
a	1080	806	750
a	806	805	750
a	805	418	750
a	418	419	750
a	419	420	750
a	420	1050	750
a	1050	1002	750
a	1002	503	750
a	503	57	1000
a	57	357	500
a	357	356	500
a	356	33	500
a	33	32	500
a	32	210	625
a	210	211	500
a	211	808	500
a	808	809	500
a	809	807	500
a	807	811	500
a	811	810	500
a	810	214	500
a	214	212	500
a	212	812	500
a	812	813	500
a	813	60	500
a	137	1157	100000
a	318	1157	100000
